Code,Name,EmailAddress
CDE01,Arun District Council,results@easthants.cjsm.net
CDE02,Babergh and Mid Suffolk District Council,david.abbott@babdc.cjsm.net
CDE03,Bedford Borough Council,Legal.clerks@bedford.gov.uk.cjsm.net 
CDE04,Cambridge County Council (Educational Welfare),info@attendancelegalpanel.cjsm.net
CDE05,Central Bedfordshire Council,Access&InclusionLegal@sjpcbc.cjsm.net
CDE06,Chichester District Council,results@easthants.cjsm.net
CDE07,Child Maintenance Service (DWP),plymouthcsac.cmglstcourtoutcomes@dwp.gov.uk
DVL2,DVLA,sjp@dvla.gov.uk
CDE09,DVSA Bristol,dvsaplsbristol@dvsa.gov.uk
CDE10,East Sussex County Council,legal.interventions@eastsussex.gov.uk.cjsm.net
CDE11,Environment Agency,enforcementonce@environment-agency.gov.uk
CDE12,Essex County Council,attn.compliance@essex.gov.uk.cjsm.net
CDE13,Fenland District Council,legal@fdclegal.cjsm.net
CDE14,Govia Thameslink,courts@gtrailway.com.cjsm.net
CDE15,Harlow District Council,admin.legal@hdc.cjsm.net
CDE16,Ipswich Borough Council,litigation@ibc.cjsm.net
CDE17,Luton Borough Council,legaladminunit@lutonboroughcouncil.cjsm.net
CDE18,Maidstone Borough Council,sjpresults@mkls.cjsm.net
CDE19,MCSS Test,CrimeITSupport@hmcts.gsi.gov.uk
CDE20,Medway YOT,sjpresults@medway.gov.uk.cjsm.net
CDE21,Merseyrail Electrics,prosecutionqueries@merseyrail2002.cjsm.net
CDE22,Norfolk County Council,attendanceteam@norfolkattendance.cjsm.net
CDE23,Norwich Health and Safety Executive,Formsadmin.Norwich@hse.gsi.gov.uk
CDE24,Oxford County Council,general.litigation@oxfordshire.gov.uk.cjsm.net
CDE25,Peterborough City Council,litigationandgovernanceteam@peterborough.cjsm.net
CDE26,Reading Borough Council,LegalServices@readingbc.cjsm.net
CDE27,Salford City Council (Regulatory Services),regservices@salfpl.cjsm.net
CDE28,Sheffield City Council Education Dept,cypd.centrallegal@sheffield.cjsm.net
CDE29,Sheffield City Council Legal and Governance,eps.admin@sheffield.cjsm.net
CDE30,South Oxfordshire and Vale of White Horse District Councils,legal@sodc.cjsm.net
CDE31,Suffolk County Council (Educational Services),schoolattendance@suffolk.cjsm.net
CDE32,Surrey County Council,ews.enforcement@surreycc.gov.uk.cjsm.net
CDE33,Swale Borough Council,sjpresults@mkls.cjsm.net
CDE34,TFL Enforcement,tfl.enforcement@tfl.cjsm.net
CDE35,Thurrock Borough Council,thurrockprosecutions@tbc.cjsm.net
CDE36,Tunbridge Wells Borough Council,sjpresults@mkls.cjsm.net
TVL3,TV Licensing,court.results@tvl.cjsm.net
CDE38,Tyne and Wear Metro,legal.mailbox@nexustwpte.cjsm.net
CDE39,Waverley Borough Council,legalshared@waverleybc.cjsm.net 
CDE40,Wolverhampton City Council,Wolverhamptoncity.prosecutions@wolverhamptonlt.cjsm.net
